low_end,low_end_raw,low_end_sign,low_end_biased_exp,low_end_mantissa,low_end_24bit,low_end_24bit_hex,low_end_plus_1,low_end_plus_1_raw,low_end_plus_1_sign,low_end_plus_1_biased_exp,low_end_plus_1_mantissa,low_end_plus_1_24bit,low_end_plus_1_24bit_hex,high_end_minus_1,high_end_minus_1_raw,high_end_minus_1_sign,high_end_minus_1_biased_exp,high_end_minus_1_mantissa,high_end_minus_1_24bit,high_end_minus_1_24bit_hex,high_end,high_end_raw,high_end_sign,high_end_biased_exp,high_end_mantissa,high_end_24bit,high_end_24bit_hex
0.000000000e+00,0x00000000,0,0,0,0,0x000000,1.401298464e-45,0x00000001,0,0,1,0,0x000000,1.175494071e-38,0x007ffffe,0,0,8388606,0,0x000000,1.175494211e-38,0x007fffff,0,0,8388607,0,0x000000
1.175494351e-38,0x00800000,0,1,0,0,0x000000,1.175494491e-38,0x00800001,0,1,1,0,0x000000,2.350988421e-38,0x00fffffe,0,1,8388606,0,0x000000,2.350988562e-38,0x00ffffff,0,1,8388607,0,0x000000
2.350988702e-38,0x01000000,0,2,0,0,0x000000,2.350988982e-38,0x01000001,0,2,1,0,0x000000,4.701976843e-38,0x017ffffe,0,2,8388606,0,0x000000,4.701977123e-38,0x017fffff,0,2,8388607,0,0x000000
4.701977403e-38,0x01800000,0,3,0,0,0x000000,4.701977964e-38,0x01800001,0,3,1,0,0x000000,9.403953686e-38,0x01fffffe,0,3,8388606,0,0x000000,9.403954246e-38,0x01ffffff,0,3,8388607,0,0x000000
9.403954807e-38,0x02000000,0,4,0,0,0x000000,9.403955928e-38,0x02000001,0,4,1,0,0x000000,1.880790737e-37,0x027ffffe,0,4,8388606,0,0x000000,1.880790849e-37,0x027fffff,0,4,8388607,0,0x000000
1.880790961e-37,0x02800000,0,5,0,0,0x000000,1.880791186e-37,0x02800001,0,5,1,0,0x000000,3.761581474e-37,0x02fffffe,0,5,8388606,0,0x000000,3.761581698e-37,0x02ffffff,0,5,8388607,0,0x000000
3.761581923e-37,0x03000000,0,6,0,0,0x000000,3.761582371e-37,0x03000001,0,6,1,0,0x000000,7.523162948e-37,0x037ffffe,0,6,8388606,0,0x000000,7.523163397e-37,0x037fffff,0,6,8388607,0,0x000000
7.523163845e-37,0x03800000,0,7,0,0,0x000000,7.523164742e-37,0x03800001,0,7,1,0,0x000000,1.504632590e-36,0x03fffffe,0,7,8388606,0,0x000000,1.504632679e-36,0x03ffffff,0,7,8388607,0,0x000000
1.504632769e-36,0x04000000,0,8,0,0,0x000000,1.504632948e-36,0x04000001,0,8,1,0,0x000000,3.009265179e-36,0x047ffffe,0,8,8388606,0,0x000000,3.009265359e-36,0x047fffff,0,8,8388607,0,0x000000
3.009265538e-36,0x04800000,0,9,0,0,0x000000,3.009265897e-36,0x04800001,0,9,1,0,0x000000,6.018530359e-36,0x04fffffe,0,9,8388606,0,0x000000,6.018530717e-36,0x04ffffff,0,9,8388607,0,0x000000
6.018531076e-36,0x05000000,0,10,0,0,0x000000,6.018531794e-36,0x05000001,0,10,1,0,0x000000,1.203706072e-35,0x057ffffe,0,10,8388606,0,0x000000,1.203706143e-35,0x057fffff,0,10,8388607,0,0x000000
1.203706215e-35,0x05800000,0,11,0,0,0x000000,1.203706359e-35,0x05800001,0,11,1,0,0x000000,2.407412143e-35,0x05fffffe,0,11,8388606,0,0x000000,2.407412287e-35,0x05ffffff,0,11,8388607,0,0x000000
2.407412430e-35,0x06000000,0,12,0,0,0x000000,2.407412717e-35,0x06000001,0,12,1,0,0x000000,4.814824287e-35,0x067ffffe,0,12,8388606,0,0x000000,4.814824574e-35,0x067fffff,0,12,8388607,0,0x000000
